,year,rural,obliged,give,act,obedience,authority,belong,pray,mean
0,1800,1.2754567705997033e-05,0.00012976288962818217,0.0004589613454299979,0.0004574563354253769,5.1739988521148916e-05,0.00023769067047396675,3.921270581486169e-05,5.695814161299495e-05,0.00018056708057656579
1,1801,1.2636123574338854e-05,0.00014035916392458604,0.00044934581965208056,0.0004543229762930423,5.553231094381772e-05,0.00024559393059462307,3.7936741136945784e-05,5.410742596723139e-05,0.00018122931151083322
2,1802,1.1753619598190804e-05,0.00014036214876493128,0.0004500332191431274,0.0004429721642130365,5.608412599637328e-05,0.00024660757238355774,3.682581397394339e-05,5.750583174328009e-05,0.00018026806197705508
3,1803,1.160725378213101e-05,0.00013439358112269213,0.0004555991534808917,0.0004586307581381074,5.589154846217882e-05,0.00024932302351641866,3.7984537422224616e-05,5.682915434590541e-05,0.00018253237628381873
4,1804,1.146371628887469e-05,0.00013956156180938706,0.00045558640600315163,0.0004909920306610209,5.782810902538975e-05,0.0002664872632262164,3.822799408226274e-05,5.420138456559341e-05,0.00018929355820773708
5,1805,1.1240071801564358e-05,0.0001334373259201779,0.00046061736065894365,0.0005350006727634796,5.7387094005077544e-05,0.0002627582850566666,3.8785929583744814e-05,5.4316950159513257e-05,0.00019419296124364597
6,1806,1.0956944281913041e-05,0.0001209503783944196,0.00047060513835666437,0.0005595051001624338,5.7184724157975453e-05,0.00025013643607962877,3.796262743500327e-05,5.8972773071478256e-05,0.00019578426524243957
7,1807,9.94047221476129e-06,0.00012091926847850638,0.0004556774511002004,0.0005641223646567336,5.732807611431261e-05,0.0002617352708641972,3.8472828496846235e-05,5.6733583603220594e-05,0.00019561616444109734
8,1808,9.454550763621228e-06,0.00011182856646233372,0.0004661431552709213,0.0006060015667961645,5.832533653509537e-05,0.00025960432581736574,3.921684245662098e-05,5.889029853278771e-05,0.00020118308032936384
9,1809,9.410232710901515e-06,0.00010806560645245813,0.0004642775664771242,0.0006419871019066445,5.9363770560594276e-05,0.00026206576564748375,4.090190278865131e-05,5.511837246428643e-05,0.000205148789876018
10,1810,8.734462231326948e-06,0.00010921532313139843,0.0004601725086104125,0.0006727321888320148,5.848191722179763e-05,0.00025649557106329927,4.050486001818042e-05,5.652502243590009e-05,0.00020785773169304127
11,1811,8.361082109331619e-06,0.00010723623667477764,0.0004573507633592401,0.0006979338026472501,5.765639538627251e-05,0.0002489633084873536,4.1703034055119914e-05,5.5659425145547304e-05,0.00020935800598311159
12,1812,7.32119614050524e-06,0.00010842974422433014,0.00045341311072531553,0.0006929508194194309,5.93960118879165e-05,0.00023679624220156775,4.272115568580505e-05,5.8429825003258884e-05,0.00020743226316101624
13,1813,6.877949739906139e-06,0.00010771671389063288,0.00044200139486097863,0.000736642737008099,5.916569144963952e-05,0.00024216500085978105,4.268077879844766e-05,5.645790588459931e-05,0.00021171352156151052
14,1814,6.81892580749783e-06,0.00010631206116938432,0.0004505429699617837,0.0007416991450424705,5.8269631803601184e-05,0.00023727950714861175,4.3437263749573117e-05,5.7800929166010716e-05,0.00021277005423111662
15,1815,6.445713357347163e-06,0.00010172678386360141,0.00044279901028078584,0.0007270639429667167,5.554770749378284e-05,0.00023130362595631077,4.465509586485236e-05,5.795250867127574e-05,0.0002084367985568341
16,1816,6.963039140828187e-06,9.771875816763245e-05,0.000443209582174729,0.0007427809344205473,5.19980130775366e-05,0.00022484392684418708,4.459797336104592e-05,5.7695104000491225e-05,0.0002087259163983747
17,1817,7.176829318008718e-06,9.604909012393494e-05,0.0004451464129877942,0.0007695037888229958,5.238890298642218e-05,0.00022956988167217269,4.553744344905551e-05,5.840537882509774e-05,0.0002129722160231852
18,1818,7.31008796200123e-06,9.274217986135877e-05,0.0004445799235587141,0.0007727974443696439,5.138882884888777e-05,0.00023587366740684956,4.533375561420273e-05,5.920715349410395e-05,0.00021365413013947024
19,1819,7.644492922866317e-06,9.236413045852845e-05,0.00044032126399023194,0.0007520151806862227,4.821190200995521e-05,0.00024264793942815492,4.470646620445352e-05,5.572744755357105e-05,0.00021045485290674802
20,1820,7.558048699658164e-06,9.010403612462272e-05,0.00044224302733450064,0.0007292709280071514,4.761783878036242e-05,0.00024813724615211995,4.446148731014026e-05,5.5525377060153657e-05,0.00020811474868358867
21,1821,7.694491874385026e-06,8.680119416177539e-05,0.000435810349050111,0.000719866349494883,4.746924969367683e-05,0.00024379290490677313,4.3926882686459324e-05,5.5201102700915984e-05,0.00020507031557112247
22,1822,7.67353516753896e-06,8.690342656336725e-05,0.000438622577348724,0.0007211192028730043,4.503991294768639e-05,0.000243871973777589,4.3107546974040035e-05,5.376164283786368e-05,0.00020501247731122672
23,1823,7.171978787872442e-06,8.657203060075907e-05,0.0004397941063091691,0.0007152216359307724,4.483289688193638e-05,0.0002394463392972414,4.269830969860777e-05,5.5864211130288565e-05,0.0002039501885795809
24,1824,7.214336424762483e-06,8.394845541001164e-05,0.0004368697451094964,0.0006684492358804814,4.4805367776591864e-05,0.00023396510264969299,4.245055710530973e-05,5.488435947752025e-05,0.00019657339497923334
25,1825,7.09784301631901e-06,8.44118497168113e-05,0.00043702288114997955,0.0006570506125821599,4.49691475036421e-05,0.0002260876021214894,4.198419005011341e-05,5.536297092995872e-05,0.00019424838713380917
26,1826,7.031280737075056e-06,8.307668446962322e-05,0.0004407031270342746,0.0006460270960815251,4.593338287252534e-05,0.00021824189544921474,4.261016095240068e-05,5.594956746790558e-05,0.00019244664938306802
27,1827,7.20114530849969e-06,8.370556315639988e-05,0.0004420296089457614,0.0006274560000747442,4.6410128561547026e-05,0.00021014842163172683,4.3528047951570314e-05,5.598784835975883e-05,0.00018955834549875105
28,1828,7.3309085694615665e-06,8.296235630820905e-05,0.00044618924896764966,0.0006214115086809865,4.645332904016998e-05,0.00020958475111651102,4.341624246860322e-05,5.812313871241973e-05,0.00018943393548300137
29,1829,7.447596739699033e-06,7.80635153725078e-05,0.0004305142460257879,0.0006034849461035005,4.4307482052577794e-05,0.00021497386790412878,4.2032737318160276e-05,5.649686292079943e-05,0.00018466515680464518
30,1830,7.402388941305357e-06,7.821765861340932e-05,0.000428686779092199,0.0005868712490025375,4.588109758125418e-05,0.00021854437155915157,4.2297568662823846e-05,5.557316503005235e-05,0.00018293428481034162
31,1831,7.289395983077286e-06,7.900226981811491e-05,0.000427851004392973,0.0005836464364879898,4.469734189374971e-05,0.00021927911231094704,4.1493791546339965e-05,5.403148887645719e-05,0.0001821613551637061
32,1832,7.694899717794865e-06,7.952559514836009e-05,0.0004261318619163441,0.0005645433723527406,4.529215038928669e-05,0.00021740689200149582,4.13727352029777e-05,5.4527184797085025e-05,0.0001795618364407606
33,1833,7.479484988185245e-06,7.946888737413766e-05,0.0004246938998611378,0.0005561672400550119,4.449770884613307e-05,0.0002168571642999138,4.0750917833065614e-05,5.3844413611971375e-05,0.00017796996460869456
34,1834,7.5706481246535466e-06,7.92606286787694e-05,0.0004243641867235835,0.000562468244295035,4.2912170621483324e-05,0.00021712281574894275,4.01150448721767e-05,5.258779284693966e-05,0.00017830019148894799
35,1835,7.611219513949306e-06,7.900598887187828e-05,0.00042439075436310044,0.0005660255722302411,4.215153577596149e-05,0.00021662920231132636,4.006882019374254e-05,4.96079410368111e-05,0.00017818637928712633
36,1836,7.916038742093536e-06,8.28026344866625e-05,0.00043618070360805305,0.0005759168748876878,4.4351394275768795e-05,0.0002095023831186284,4.149624718203475e-05,5.1721428462769836e-05,0.00018123596309546234
37,1837,8.10133113710825e-06,8.346323011210188e-05,0.0004339411264351968,0.0005675306809800011,4.310877141376425e-05,0.000208377925446257,4.131076275371015e-05,5.099371264805086e-05,0.00017960344261577378
38,1838,8.408826683340262e-06,8.184277560628419e-05,0.0004295701967618827,0.0005613089555741421,4.339857488438221e-05,0.00020708877127617598,4.142291072639637e-05,5.0786729324110116e-05,0.00017797846760458924
39,1839,8.232971595134586e-06,8.005760277488403e-05,0.00042850180761888623,0.0005579492842246379,4.2967171923789594e-05,0.00020629019750880877,4.1540399251971394e-05,5.0932274981667956e-05,0.00017705896373497256
40,1840,8.45124577608658e-06,7.730688750078636e-05,0.0004247775401121804,0.0005473155137484095,4.3020469352736e-05,0.00020625891089106778,4.1657593101263046e-05,5.205979998988498e-05,0.00017510599505905186
41,1841,8.650742139642326e-06,7.597597037342243e-05,0.00042101677640208175,0.0005239306441840849,4.390143294585869e-05,0.00020406311835228865,4.180878126395068e-05,5.303855349276481e-05,0.00017154825239426179
42,1842,8.642544604039618e-06,7.554980714173456e-05,0.00041799547450084774,0.0005139703405023153,4.433777212398127e-05,0.00020455524125801667,4.171623368165456e-05,5.271364404636968e-05,0.00016993513223236993
43,1843,8.520085689919402e-06,7.383733671823782e-05,0.0004176925410450037,0.0005109927192929067,4.4060465630276925e-05,0.00020296205808075944,4.1736458245265696e-05,5.197214029197182e-05,0.00016897172562429271
44,1844,8.837893541827466e-06,7.136802222313625e-05,0.00041546457214280963,0.000505952035642362,4.369811462571046e-05,0.00019961928358368044,4.1486805587607834e-05,5.1484048786473326e-05,0.00016723884701670092
45,1845,9.119689301379757e-06,7.102892725794976e-05,0.0004157181330291288,0.0004977629411899086,4.305258023253243e-05,0.00019493339017831853,4.123101306114612e-05,5.121397407492623e-05,0.0001655075810406613
46,1846,9.603825934131496e-06,7.0562468733572e-05,0.0004154810864877488,0.000508899413814236,4.233371458082859e-05,0.0001956453363943313,4.1382743282676006e-05,4.888175473232488e-05,0.00016659879299498116
47,1847,1.0040258270497101e-05,6.957601622811385e-05,0.0004169900161546788,0.0005147002770432404,4.1284282945395845e-05,0.00019263418549339155,4.143417286936061e-05,4.714326444497731e-05,0.00016672530918120695
48,1848,1.030172916216543e-05,6.91078561690769e-05,0.00041645652215395657,0.0005273292855625707,4.004925774227429e-05,0.00019074501012385423,4.163971399455997e-05,4.539142069656269e-05,0.00016762759945062756
49,1849,1.0740799942660878e-05,6.776230605152835e-05,0.0004178002584792141,0.0005451466089912824,3.870992129252825e-05,0.00018773764064202884,4.1438420989184775e-05,4.4458836263012404e-05,0.00016922434908142999
50,1850,1.1304211901525768e-05,6.793886028130405e-05,0.00041958975322943715,0.000548457568843982,3.777293542433264e-05,0.000186359287389288,4.1455283020955645e-05,4.3726469552244195e-05,0.00016957554620538365
51,1851,1.1491660708478385e-05,6.73078019255107e-05,0.0004198716030389603,0.0005538605120299118,3.716841872249331e-05,0.0001869999707975824,4.230160889814475e-05,4.3216920728030216e-05,0.000170277312106139
52,1852,1.1513146741240884e-05,6.700174292616014e-05,0.00041863389612574665,0.0005620587284543685,3.659324128031065e-05,0.00018635714410005936,4.219521360937506e-05,4.283012978183771e-05,0.00017089790537738736
53,1853,1.1514356629049871e-05,6.684435564758522e-05,0.00041634031887432296,0.0005532951576502196,3.621226590309691e-05,0.0001859720006385552,4.162263888117325e-05,4.248191440378183e-05,0.0001692853760784731
54,1854,1.1512514382567523e-05,6.707594002364203e-05,0.00041372016338365417,0.0005622636111054037,3.513574795631159e-05,0.00018487938047785844,4.114861076232046e-05,4.228851841097432e-05,0.00016975306081284152
55,1855,1.1357433972339745e-05,6.531481890955806e-05,0.0004123225392374609,0.0005687658392292048,3.371501796729197e-05,0.00018369590855270092,4.085654654772952e-05,4.152315107473571e-05,0.00016969390693637773
56,1856,1.1196613611121262e-05,6.486872890880997e-05,0.00040811789637830643,0.0005592940225532013,3.401201735999036e-05,0.00018204462789331695,4.0786275868803e-05,4.196963969401882e-05,0.000167786227783446
57,1857,1.0947389065612307e-05,6.283401359853867e-05,0.00040294115647806654,0.000552467885427177,3.3996324158839085e-05,0.00018098263119879578,4.07413619021619e-05,4.153938581501799e-05,0.00016580626845552612
58,1858,1.0659909613813007e-05,6.126270143015842e-05,0.0003984179555638028,0.000567607007854219,3.329840131170515e-05,0.00017995280047346438,3.9993211040772234e-05,4.043259001004377e-05,0.00016645307216224734
59,1859,1.022951762154532e-05,5.8867198926496454e-05,0.0003952242176248027,0.0005725470171975238,3.268945251225627e-05,0.00018034942539608373,4.054776582052e-05,3.870985580890972e-05,0.00016614555636351724
60,1860,9.85757482599833e-06,5.7003457186510786e-05,0.0003926268005411008,0.000573443789367697,3.209200544266163e-05,0.00017962128705611185,4.069382599222341e-05,3.7818451736321936e-05,0.00016539464901857822
61,1861,9.463456860560524e-06,5.5801191982547084e-05,0.0003903135782041188,0.0005639475670510105,3.200525497959461e-05,0.00018161534639408013,4.026593056291209e-05,3.68231932433056e-05,0.00016377943990976616
62,1862,9.38690079367786e-06,5.561458497790487e-05,0.00038724110345356166,0.0005626165241535221,3.168575546754125e-05,0.0001798584999050945,3.9831140124338814e-05,3.651494833840323e-05,0.00016284368215175555
63,1863,9.204285431353907e-06,5.4089150840549595e-05,0.0003867578301911375,0.0005606959124894015,3.0393742105973486e-05,0.0001816020002089707,3.9305504157839876e-05,3.5517101683321274e-05,0.0001621956908885685
64,1864,9.13091350542215e-06,5.3338072445642736e-05,0.00038671034521290233,0.0005658304601508592,2.9533562285775717e-05,0.00017972462852152863,3.940540981212897e-05,3.492503466467107e-05,0.00016232480332486636
65,1865,9.052571061017392e-06,5.260230110642234e-05,0.0003876790454212044,0.0005637995948615883,2.8817907410224768e-05,0.00017967434126018946,3.923259750341198e-05,3.437010101541611e-05,0.00016190355745493434
66,1866,9.161872445214872e-06,5.2938909772949826e-05,0.0003885154063547296,0.0005717690884401756,2.7724688022447352e-05,0.0001760753574282197,3.871649615965518e-05,3.457473992187131e-05,0.00016243456981815792
67,1867,9.229536902109561e-06,5.2083286781063567e-05,0.0003883277822751552,0.0005774930052991424,2.6693908564214196e-05,0.00017437827981276705,3.876215954993053e-05,3.391042472295729e-05,0.0001626097979884175
68,1868,9.205540663970169e-06,5.1827525437277344e-05,0.0003884850302711129,0.0005950221592294318,2.588453363776872e-05,0.00017250344223741974,3.90804821758398e-05,3.383072492267404e-05,0.0001644799298219368
69,1869,9.102010153583251e-06,5.015645261404903e-05,0.0003909239769979779,0.0005911846528761089,2.481703553972433e-05,0.0001691134841946353,3.983551973111129e-05,3.292354137686614e-05,0.000163507084185507
70,1870,9.140377967144428e-06,4.9809584327574286e-05,0.00038943233084864914,0.000603215245064348,2.3952963861769865e-05,0.00016637363712236817,4.0669628236043665e-05,3.199199064900833e-05,0.00016432321975961322
71,1871,8.999940031831752e-06,4.9337927131481205e-05,0.0003877030061890504,0.0005990445580599564,2.3018461953532615e-05,0.00016589363388318037,4.0359060741528605e-05,3.0717526637350344e-05,0.00016313426432848895
72,1872,8.993497561147836e-06,4.8895559302764013e-05,0.00038596498364183517,0.0005943084085759308,2.252822118212602e-05,0.000163042450107501,4.0535902891341334e-05,3.0371795998819706e-05,0.0001618301024076832
73,1873,8.931911257345096e-06,4.8542524122499996e-05,0.00038430382846854627,0.0005763397119673235,2.2217138393898495e-05,0.0001646308955969289,4.04720360945378e-05,2.92057245262965e-05,0.00015933047130342208
74,1874,8.699867066752631e-06,4.818642108667908e-05,0.00038339393047083704,0.0005729327843125377,2.182822702577271e-05,0.0001653819511245404,4.038802788792444e-05,2.8325757219655706e-05,0.0001586421207743375
75,1875,8.649159229077799e-06,4.657224625199368e-05,0.0003801932159279074,0.0005532228762084353,2.1128909013766262e-05,0.00016330075491818467,4.01972268134289e-05,2.6485324269742705e-05,0.0001549687140790671
76,1876,8.610624718130566e-06,4.650147768968184e-05,0.00037530878658539483,0.0005456004499657345,2.1053241393279416e-05,0.00016483089088329246,3.914093810765605e-05,2.5662677476897704e-05,0.0001533386358525084
77,1877,8.55245889397338e-06,4.6121692970960536e-05,0.0003726759834015476,0.000517797889187932,2.102802578260058e-05,0.0001643266254437289,3.850670067809655e-05,2.5183007632481997e-05,0.00014927404799891517
78,1878,8.607344820380344e-06,4.5909565544986564e-05,0.00037029540232781855,0.0005085093434900045,2.082860945457859e-05,0.00016383629450241903,3.797794332578113e-05,2.542290063242295e-05,0.00014767342551229897
79,1879,8.50991208218537e-06,4.526479356822425e-05,0.00037003659859432707,0.000489489986128839,2.0360144065177466e-05,0.00016281851276289672,3.752552584046498e-05,2.477399799058081e-05,0.000144847433879087
80,1880,8.536694882163179e-06,4.456915589149243e-05,0.00036703256773762405,0.0004763547538979245,1.993035402847454e-05,0.00016069109967377569,3.723879958020656e-05,2.4780673161980564e-05,0.0001423917623567052
81,1881,8.544265386132923e-06,4.44484046186387e-05,0.0003660023960817073,0.0004626712512357959,1.9783520266563365e-05,0.0001611866568314976,3.676033780461044e-05,2.4573664891899432e-05,0.0001404963121396057
82,1882,8.544596961915626e-06,4.4707486397653285e-05,0.00036415904677206915,0.00046355151321872005,1.961383064294101e-05,0.00016079995215737393,3.6503229888954335e-05,2.416487144988163e-05,0.0001402555659361886
83,1883,8.792089829512406e-06,4.415525628636325e-05,0.00036425309787903516,0.00045532924871492596,1.9346073323894026e-05,0.00016192261994417225,3.652828828697758e-05,2.365877350842181e-05,0.00013924818097166278
84,1884,8.637457540316973e-06,4.3466157616681554e-05,0.0003645197721198201,0.0004633136517700872,1.904497938604826e-05,0.0001615299760097904,3.6253973251275185e-05,2.31302799095699e-05,0.00013998703095044867
85,1885,8.510655269284534e-06,4.3025676339831466e-05,0.0003631259564177266,0.0004563597820898784,1.886800159159715e-05,0.00016045135063385324,3.6156558053335175e-05,2.232983570138458e-05,0.0001386034770121114
86,1886,8.591929015113107e-06,4.310748824666787e-05,0.0003621297447742628,0.00045750396592276435,1.8775220399090487e-05,0.000159401712673051,3.6125862867005966e-05,2.2144588001538068e-05,0.00013847256398743672
87,1887,8.586214010262796e-06,4.2477807645419876e-05,0.0003608533921318927,0.00045442012404756885,1.848706831099532e-05,0.00015966951156899865,3.6023256273308236e-05,2.150525896078242e-05,0.0001377528291186536
88,1888,8.830095274398836e-06,4.188572867341074e-05,0.00035803950491494367,0.0004538291084047939,1.819528993759637e-05,0.0001555849615085338,3.6088103765255907e-05,2.0847112474647084e-05,0.00013666248811919753
89,1889,9.2747157915645e-06,4.0883968592554864e-05,0.00035775497339532843,0.0004402932827360928,1.8149667084799148e-05,0.00015378540722719793,3.5963622004991134e-05,2.1012821369887596e-05,0.00013463980727530206
90,1890,9.280963240598794e-06,4.056321891507001e-05,0.0003559669213635581,0.0004378568472540272,1.7915518453394596e-05,0.00014880878942286863,3.594864496595359e-05,2.1147077599640136e-05,0.00013343599765188886
91,1891,1.006298407446593e-05,4.033842924400233e-05,0.00035602127484578105,0.0004266187606845051,1.757443741163505e-05,0.00014798434027138034,3.583017002841059e-05,2.0857636107913485e-05,0.00013191100408351173
92,1892,1.0296825946300356e-05,3.98346601286903e-05,0.0003537375928967127,0.0004321511078160256,1.7187143904655905e-05,0.0001479146282820563,3.582777935662307e-05,2.0292793124099262e-05,0.00013215531643189543
93,1893,1.0550116322909681e-05,3.8850126916908524e-05,0.000352295847343547,0.0004257131825267736,1.692433345721968e-05,0.0001473620005916538,3.5612133485431385e-05,1.9872929832282743e-05,0.00013089758380959083
94,1894,1.0962878020239128e-05,3.815072081384382e-05,0.00035119757688205155,0.00043536562588997185,1.671481602118417e-05,0.00014659089044601257,3.505349429490577e-05,1.953133817421206e-05,0.00013169591756780261
95,1895,1.1621658424181597e-05,3.761071950845819e-05,0.00035080460449015457,0.0004279636320591505,1.635234548302833e-05,0.0001465320071604635,3.456798887262786e-05,1.965171447539303e-05,0.00013063808380918217
96,1896,1.1649628374600849e-05,3.7960539235168e-05,0.000350738746679521,0.0004299183575702565,1.6314986558947047e-05,0.00014643109378604486,3.416692873413142e-05,2.003980392016404e-05,0.00013090251060735424
97,1897,1.2085631689322846e-05,3.800720358932657e-05,0.0003515757478973163,0.00041632644882026525,1.6314485297438557e-05,0.00014613059050004398,3.376559158953439e-05,2.0124430323318976e-05,0.00012929126621332083
98,1898,1.2235466653822056e-05,3.7510723424410184e-05,0.0003498273061787976,0.00042082673254688937,1.6007787702879534e-05,0.00014539007887443795,3.348195085501564e-05,2.0103605493204668e-05,0.00012942295646618213
99,1899,1.304445946256497e-05,3.695673928762387e-05,0.0003503695729055575,0.00040427197070260135,1.583973062224686e-05,0.0001429477145263393,3.297029044395978e-05,2.0192280966771898e-05,0.00012707409486470818
100,1900,1.3782661101556317e-05,3.62851787940599e-05,0.0003484427496524794,0.0004056241554540715,1.541984316385684e-05,0.00014221867604646832,3.2665891402367766e-05,1.9863200577674434e-05,0.0001267877945240668
101,1901,1.441632853779343e-05,3.6003497370984405e-05,0.0003488841508182564,0.0003916704278838422,1.4995141620082514e-05,0.00014018094848974476,3.237118809400792e-05,1.9879137263550157e-05,0.0001248001025097827
102,1902,1.4530793513196321e-05,3.5074282485376375e-05,0.0003475217838838164,0.00039620117916326435,1.4535477280982637e-05,0.00013965573452878743,3.203412312099577e-05,1.914402699705014e-05,0.00012483717512168369
103,1903,1.5242121792523125e-05,3.3537505909667485e-05,0.000345245747926778,0.0003967593823160444,1.370815451602019e-05,0.00014177427718615427,3.162961132017829e-05,1.768729517997209e-05,0.00012444801201841722
104,1904,1.5965405769488177e-05,3.1956192937546545e-05,0.0003414095637188958,0.00040640916475760084,1.3059813811975931e-05,0.00014261214528232813,3.113105412921868e-05,1.6715330275474116e-05,0.00012490733383531606
105,1905,1.6538317920224343e-05,3.067982730239497e-05,0.0003396875108592212,0.0003975593426730484,1.2581685041368473e-05,0.0001417759568929406,3.0595612250700856e-05,1.5920160746775635e-05,0.00012316730171083433
106,1906,1.7073241646617783e-05,2.976757865066507e-05,0.00033985378935800066,0.00040286189427466264,1.2097022980534738e-05,0.0001416608159031187,3.020335965889639e-05,1.5478570146245018e-05,0.00012362453407734265
107,1907,1.8171430773301317e-05,2.9009370596863198e-05,0.00033912272192537785,0.0003943644488962101,1.1763414477172773e-05,0.00014247165901386843,2.988620742274049e-05,1.4969009628527732e-05,0.00012246978284175775
108,1908,1.927831674817883e-05,2.7960261961977396e-05,0.0003364232959159251,0.0003976505540776998,1.1344440801102401e-05,0.00014324114350269416,2.973540774421833e-05,1.4055412975721993e-05,0.00012246110421593973
109,1909,2.1557162524134454e-05,2.722429443175705e-05,0.00033677377671535524,0.0003953429654107562,1.088974788997023e-05,0.00014330214513133148,2.9297413025882895e-05,1.37043485405489e-05,0.00012226148170871708
