,year,urban,choose,get,feel,individual,self,unique,child,mean
0,1800,1.7708091633039658e-06,3.576906374291866e-05,0.00012315597814449575,9.692304956843145e-05,6.06772418905166e-05,9.639175004849676e-05,1.8522006683951986e-06,0.00013844457680534106,6.937308375398743e-05
1,1801,1.4457351568353261e-06,3.6403516787686385e-05,0.00011079984542448074,9.230778377968817e-05,5.7693550479598345e-05,9.110464452533051e-05,1.6708314092284127e-06,0.0001277393166674301,6.489565302878476e-05
2,1802,1.2047792973627718e-06,3.8026939667664315e-05,0.00010478447196267855,9.014030971835989e-05,5.9725201329759635e-05,8.628388119783874e-05,1.4972323564658534e-06,0.00012123650230932981,6.286241472993245e-05
3,1803,1.0377770449971585e-06,3.804334924747569e-05,0.0001009428285345036,9.186741538412337e-05,5.960256852891429e-05,8.471988050067531e-05,1.500477740786924e-06,0.00011673567288588467,6.180624623342013e-05
4,1804,6.798255748817285e-07,3.827626980117722e-05,7.931725018092298e-05,8.481195566543777e-05,5.9949306887574494e-05,7.687878366726051e-05,1.0442724861344947e-06,9.502360522414424e-05,5.449765868594168e-05
5,1805,2.868208431396267e-07,3.7797744620807604e-05,7.506576574607087e-05,8.758960133751057e-05,6.124686634783367e-05,7.584060949739069e-05,1.0586970721046133e-06,9.312381631129288e-05,5.400124022201881e-05
6,1806,1.2123781140920592e-07,3.931719662172587e-05,7.523644100209432e-05,9.032310065647055e-05,5.994355680221426e-05,7.543457260388615e-05,1.111711234053863e-06,9.676265991791817e-05,5.478130958122155e-05
7,1807,1.1829010253856203e-07,3.851784744516148e-05,7.269886555150151e-05,8.745633074015911e-05,5.7472238300501234e-05,7.15477196666013e-05,1.0216156332327436e-06,9.371820903782333e-05,5.2818889559689915e-05
8,1808,1.3319632888705461e-07,3.8621828155425775e-05,7.440333450046767e-05,9.050740170226033e-05,5.8925672679574094e-05,7.476866864765595e-05,9.962579464887052e-07,9.677487209306232e-05,5.439140400672773e-05
9,1809,1.3319632888705461e-07,3.71219809624433e-05,7.315110269701108e-05,9.118125828016283e-05,5.848279033671133e-05,7.80031134906624e-05,1.0294143716497014e-06,9.53290332940274e-05,5.430398622019439e-05
10,1810,1.4299077020853345e-07,3.6373720961689416e-05,7.548737318886976e-05,9.201402904831671e-05,5.962342506141535e-05,7.802503075384135e-05,8.987190491487646e-07,9.4974173407536e-05,5.469243278012824e-05
11,1811,2.0939653515889794e-07,3.544876536969761e-05,7.659727478832272e-05,9.505687506004636e-05,6.158989708637819e-05,7.80949620613163e-05,9.168064138975751e-07,9.152846801693418e-05,5.493030566646898e-05
12,1812,1.6179354186566082e-07,3.551643905146713e-05,7.868824260575431e-05,9.891283220245637e-05,6.190833456847551e-05,7.910572354116343e-05,8.970884225943467e-07,8.905451977625489e-05,5.5530621713753964e-05
13,1813,1.7605777255117312e-07,3.475503399386071e-05,7.714034187042021e-05,9.919523498475818e-05,6.595807177031279e-05,7.672040997671761e-05,8.925907439204041e-07,8.50925747987016e-05,5.499128948890534e-05
14,1814,2.177524811892389e-07,3.4873106155178645e-05,8.067092338543651e-05,0.00010630109941952728,7.205099661535184e-05,7.814506742371512e-05,9.682973752335653e-07,8.718271211754265e-05,5.755124437164685e-05
15,1815,1.8624189276498067e-07,3.395351866077233e-05,8.059681256002347e-05,0.00010959349726493071,7.555939165675747e-05,7.687564565068377e-05,1.0182085605135529e-06,8.731581848613652e-05,5.813739184157285e-05
16,1816,2.2568662519769793e-07,3.368814785582279e-05,8.069205172692559e-05,0.0001118104753134373,7.704061135882512e-05,7.463508726297212e-05,1.0529400518472748e-06,9.105422421790925e-05,5.877490305161714e-05
17,1817,2.2802996570346424e-07,3.5092965845251456e-05,7.824751914345793e-05,0.00011369931702834688,8.056211871527401e-05,7.438442012893834e-05,1.1087862341290538e-06,9.489875394917493e-05,5.9777738876284504e-05
18,1818,1.5384781753320048e-07,3.549922985257581e-05,7.664582205636959e-05,0.00011376071259811786,8.28622464073955e-05,7.345723341651527e-05,1.162688801871679e-06,9.843269903545402e-05,6.024680999822911e-05
19,1819,1.4509717706699477e-07,3.5183041680803786e-05,7.452158024534583e-05,0.00011248639722387972,8.414469942051386e-05,7.288707066826256e-05,1.1323756357991703e-06,0.00010019128863599949,6.008644383595893e-05
20,1820,1.38373351760939e-07,3.6229521356290206e-05,7.433912313509998e-05,0.00011163327040516638,8.28145005341087e-05,7.23827033652924e-05,1.108885823798898e-06,0.00010094911808014981,5.994943700645841e-05
21,1821,9.364139064160781e-08,3.6502056380933414e-05,7.330093545273744e-05,0.00011123657584123845,8.169886340121073e-05,7.27682833842534e-05,1.0718756259718378e-06,0.00010300285586189213,5.995938591735988e-05
22,1822,1.0523812361234214e-07,3.733756394857275e-05,7.646551862957754e-05,0.00011292809254622885,8.51290044790533e-05,7.154969976649486e-05,1.0518598076357324e-06,0.00010260909143003769,6.0897008591401634e-05
23,1823,7.897725483120763e-08,3.849059794447385e-05,7.944578724813514e-05,0.00011811051808763295,8.784490221712206e-05,7.209133764263242e-05,1.1910317100825653e-06,0.00010333131649531424,6.257305857502806e-05
24,1824,6.805156451049146e-08,3.7742687189685444e-05,7.99970917536744e-05,0.00011859478919567274,8.829764556139708e-05,7.324106055810782e-05,1.3308990349157414e-06,0.0001046871901572948,6.299492687690731e-05
25,1825,7.981036720394741e-08,3.7768889472187895e-05,8.126132992661692e-05,0.00012033167981176771,8.953282875674111e-05,7.406723099328312e-05,1.355032834128776e-06,0.00010579319080404405,6.377374912074669e-05
26,1826,8.065382431762405e-08,3.8237828578400824e-05,8.282552880700678e-05,0.00012317590153543279,9.383800456167332e-05,7.611484657640435e-05,1.4775578815065922e-06,0.0001096612135630234,6.567644191597071e-05
27,1827,6.628520982892333e-08,3.835748585905614e-05,8.428454020759091e-05,0.000129054237082268,9.908516845566087e-05,8.166882097222177e-05,1.5377293688548628e-06,0.00011255490244366229,6.832614619989297e-05
28,1828,1.035938873731165e-07,3.882473902194761e-05,8.522161078872159e-05,0.0001311575885795589,0.00010262467341297972,8.300251855481682e-05,1.6235248787259998e-06,0.00011469836109816762,6.965707627778642e-05
29,1829,5.643057187246622e-07,3.6514080940313374e-05,9.462709255915667e-05,0.00012350255565252155,0.00010578429646557197,8.080583367180745e-05,2.2047838846057336e-06,0.00011059926224074193,6.932527639168042e-05
30,1830,5.642971536395131e-07,3.589358415670826e-05,9.64613604342698e-05,0.00012432822924373404,0.00010850650141946971,8.332860566692293e-05,2.196317203535208e-06,0.00011234734535849254,7.04532800795965e-05
31,1831,6.311104285521602e-07,3.565422645936321e-05,0.00010054436487345291,0.00012526786304078996,0.00011200870566036818,8.260700321573365e-05,2.1681956598383423e-06,0.00010983436576290322,7.10894793876252e-05
32,1832,6.819780104448471e-07,3.566585343963068e-05,0.00010441202383455155,0.00012829029583372176,0.00011411177859242474,8.576090840506367e-05,2.2717454320237655e-06,0.00011334679376367214,7.306767216394164e-05
33,1833,6.923797550533501e-07,3.583912829136742e-05,0.0001068953809278485,0.00013032672203345492,0.00011477768774576751,8.613380435105813e-05,2.313946554620218e-06,0.00011301350917035182,7.374906985369023e-05
34,1834,7.007718240613161e-07,3.517758523230441e-05,0.00010966321653021234,0.00012878982774314603,0.0001144882823739733,8.383640722188699e-05,2.3888132026123846e-06,0.00011332369987420472,7.354607550030018e-05
35,1835,6.844049329807993e-07,3.4934572925392005e-05,0.00011336904156321128,0.00012987220543436706,0.00011689633850307603,8.590282907659587e-05,2.4872719482768195e-06,0.0001155821030676764,7.496609593144704e-05
36,1836,2.3002806922737103e-07,3.685486392766636e-05,0.00010547272956630747,0.00013832702825311571,0.00011433062068785407,9.069665039922776e-05,2.0583964734604317e-06,0.00012422309477447664,7.652417651891698e-05
37,1837,2.3776762653986744e-07,3.6883152850870306e-05,0.0001064120463394959,0.00013591907086915204,0.00011213348729402892,8.984197899865518e-05,2.025736729852464e-06,0.00012469507990837364,7.601854007712104e-05
38,1838,2.086176717089724e-07,3.66510555198017e-05,0.00010618224873074464,0.00013652243485142077,0.00011094150873499789,9.310183564334043e-05,2.124516104881228e-06,0.00013063066372913973,7.704536012325442e-05
39,1839,1.7958856598657542e-07,3.6310142084922905e-05,0.00010624837990949995,0.0001352776598650962,0.00010835718941442403,9.268268019825752e-05,2.1721226305869223e-06,0.00013175284714504545,7.662257622672745e-05
40,1840,2.0507831217335998e-07,3.547145544351744e-05,0.00010661319018774,0.00013372681236692837,0.00010730624386009627,9.399032153721367e-05,2.246903656149308e-06,0.00013432267795516445,7.673533541487287e-05
41,1841,2.0719870568492687e-07,3.4793834077260855e-05,0.0001062421641628524,0.00013302057050168514,0.00010497104293400688,9.565904266699883e-05,2.3527057269997646e-06,0.00013741279170582338,7.683241881016402e-05
42,1842,2.726586793804537e-07,3.471101029260483e-05,0.00010635961786777313,0.0001319492481083476,0.00010194656247871794,9.486061130051635e-05,2.3945871784495206e-06,0.00013853407498182996,7.637854636095249e-05
43,1843,2.663535677730319e-07,3.426129426640857e-05,0.00010652838162578908,0.00013090099673718214,9.94893499799738e-05,9.48967644944787e-05,2.442814304361361e-06,0.00013790422235615551,7.583627216651527e-05
44,1844,2.852265593235513e-07,3.333010265903015e-05,0.0001068732381099835,0.00013077052218639956,9.832078129485515e-05,9.604186094033398e-05,2.6181791261998503e-06,0.0001398449801074873,7.601061137295163e-05
45,1845,2.903880554429504e-07,3.299258449780089e-05,0.00010812439515055823,0.00013186500914993564,9.680727089289576e-05,9.755587442279128e-05,2.681125157063694e-06,0.00014143756665622016,7.646927674783857e-05
46,1846,2.887563651045509e-07,3.27515928282602e-05,0.00010900649795075879,0.0001304958901268297,9.729042877942058e-05,9.840486226104466e-05,2.69538099928468e-06,0.00014123775846590952,7.652139597207659e-05
47,1847,3.015081264022358e-07,3.280387474140818e-05,0.00011185556754103995,0.00013097353803459555,9.611251152819023e-05,9.836986074723037e-05,2.767798767828416e-06,0.00014305337598281248,7.702975443368842e-05
48,1848,3.245922022594121e-07,3.2784862664162316e-05,0.0001133616772546832,0.0001306097723759844,9.618483454687521e-05,9.801839041756466e-05,2.8372306327842774e-06,0.00014297833591366986,7.713746200099791e-05
49,1849,2.8125678954081324e-07,3.264603323519363e-05,0.00011678733530321292,0.00013048393988615965,9.554448791147609e-05,9.764625532885216e-05,2.8753248833319437e-06,0.00014278558955993503,7.738127786221278e-05
50,1850,3.007491581489116e-07,3.262640010299427e-05,0.00012084882369630836,0.00013048052850146114,9.524452928287377e-05,9.730854383503486e-05,2.944913246340418e-06,0.00014504658923085247,7.810013463175178e-05
51,1851,3.143939985810513e-07,3.27535490214359e-05,0.0001233700303211143,0.0001304409244247446,9.482633322477341e-05,9.786926862683945e-05,2.95160894633487e-06,0.00014514130348938385,7.845842650665093e-05
52,1852,3.240572011366437e-07,3.246400462688014e-05,0.00012523822598658235,0.00012746025562851822,9.304439819451156e-05,9.557215733886031e-05,2.943749937652943e-06,0.00014372357899057015,7.759630348808904e-05
53,1853,3.159262352677875e-07,3.253388812091933e-05,0.00012944695897333856,0.00012636993467042754,9.088205011461728e-05,9.458618920429476e-05,3.0151433553068533e-06,0.00014356671765978848,7.758960104174507e-05
54,1854,3.037550604696142e-07,3.2207293770625256e-05,0.00013192666353591318,0.00012403902967759808,8.932132082658686e-05,9.384000129232715e-05,3.073514822712501e-06,0.0001436535011245204,7.729563501384412e-05
55,1855,2.982691630190207e-07,3.1576815412596e-05,0.00013560524010764702,0.00012351699531011815,8.832046296447515e-05,9.402211747198765e-05,3.0242397640124963e-06,0.00014456633237257068,7.761630907080328e-05
56,1856,2.9131072868234955e-07,3.133022281482616e-05,0.0001353468604585422,0.00012122740528346705,8.668975663437908e-05,9.486643102718517e-05,3.0425037169022417e-06,0.00014464076334011873,7.717940675051288e-05
57,1857,2.981755500286454e-07,3.1064684143140244e-05,0.00013690998145778264,0.00011945544766993927,8.586675331961098e-05,9.586306467619059e-05,3.112070641821317e-06,0.00014488247480975197,7.718158153353321e-05
58,1858,2.805878795340634e-07,3.062626534041816e-05,0.00013925813047015772,0.00011720512910479946,8.364397217519581e-05,9.584213174613459e-05,3.111372377264031e-06,0.00014377391198650002,7.671768763500047e-05
59,1859,2.5564084994909665e-07,3.0458503065996672e-05,0.00014424645840855583,0.00011623459119748856,8.149972979611318e-05,9.564491795442467e-05,3.1941146646983853e-06,0.0001408356204462637,7.654619704793626e-05
60,1860,2.7321891999625745e-07,2.993210962033897e-05,0.00014748730089715018,0.0001141368764885036,8.007518980386002e-05,9.510216997503968e-05,3.2420543902844656e-06,0.00013968251836818775,7.624142980792011e-05
61,1861,2.8203898848135266e-07,2.959358919594836e-05,0.00015104851419372217,0.00011386886139267258,7.870670482848905e-05,9.55204460686738e-05,3.2565282838602016e-06,0.00013706515476639782,7.616772971478067e-05
62,1862,2.858123845531476e-07,2.9271805552915403e-05,0.00015594453309729164,0.00011366275638075811,7.59082571935973e-05,9.557804254914768e-05,3.389497383718013e-06,0.00013549896954957928,7.619245926144507e-05
63,1863,2.831984602380544e-07,2.9050036183824496e-05,0.0001613534488050001,0.00011445203563198447,7.427016576652281e-05,9.532105572621472e-05,3.505839198883872e-06,0.00013395028197140033,7.652325771800861e-05
64,1864,2.918618398390598e-07,2.8523426018572146e-05,0.00016462841345595995,0.00011366673425072804,7.338626268652401e-05,9.561902282127579e-05,3.6716500874587965e-06,0.00013261468432444547,7.65502569356004e-05
65,1865,3.242860608614657e-07,2.8402182059445685e-05,0.0001696568527092625,0.00011313495217889016,7.34049774889302e-05,9.495523824755634e-05,3.847694123188765e-06,0.0001342403723226328,7.724581939884599e-05
66,1866,3.5594026469100625e-07,2.8239638205767343e-05,0.00017190016972433244,0.0001121861974492536,7.30821765111094e-05,9.638876716573057e-05,4.053283484089272e-06,0.00013701981307739125,7.790324823529562e-05
67,1867,3.6928493126911886e-07,2.7912621330220384e-05,0.0001719877389924867,0.00011161085317975708,7.262307917699218e-05,9.606452346945713e-05,4.18018761852831e-06,0.0001383238226740754,7.788401392159828e-05
68,1868,3.878289029606614e-07,2.7720256704404684e-05,0.0001718651391066877,0.00010959170322166756,7.229417886784566e-05,9.612019390000828e-05,4.4199866156954414e-06,0.00014109781269715832,7.793713750205354e-05
69,1869,3.9973699423561424e-07,2.752303121919145e-05,0.00017927107650653591,0.00010722017136036552,7.28487762639166e-05,9.527534816048242e-05,4.556058164390768e-06,0.00014111901899533614,7.85266522080568e-05
70,1870,4.2225404886916553e-07,2.7117540022507975e-05,0.0001793202993992184,0.00010490142137444179,7.380574970738962e-05,9.575841977493837e-05,4.783803043600139e-06,0.00014370344537642917,7.872661659342433e-05
71,1871,4.4137692611911916e-07,2.6797978404959266e-05,0.00018136823408505215,0.00010329477351790826,7.425960315491206e-05,9.453708584520168e-05,4.91079085155174e-06,0.00014324424513948282,7.860676099064838e-05
72,1872,4.5290835259947926e-07,2.6394439243761424e-05,0.0001796718466461503,0.00010255777721925239,7.470504975312256e-05,9.462323214393109e-05,5.034828583510327e-06,0.00014255898297830884,7.824988311507956e-05
73,1873,4.476794442455555e-07,2.6063478539331948e-05,0.0001810059787073572,0.00010049380216514692,7.521649656285132e-05,9.25182830542326e-05,5.129251933664948e-06,0.0001409055174527956,7.772256098245325e-05
74,1874,4.714642045655637e-07,2.6052821600127834e-05,0.00018351438796214228,9.85987696497302e-05,7.617918475131904e-05,9.312393064776967e-05,5.385175167508091e-06,0.00013947695177713676,7.785033572003743e-05
75,1875,4.954087151937918e-07,2.5540034974775544e-05,0.00018518925935495645,9.613667914111699e-05,7.588633785157331e-05,9.107827125782413e-05,5.493999846554029e-06,0.0001356235339439341,7.693044063574104e-05
76,1876,5.390228230745768e-07,2.52253729351131e-05,0.00017728689376131764,9.435880305578134e-05,7.624040985579736e-05,9.025475758660053e-05,5.666965535056079e-06,0.0001364591797547681,7.575392566343858e-05
77,1877,5.558944370217692e-07,2.494651562301442e-05,0.00017721334006637335,9.268505423928477e-05,7.560372614534572e-05,8.853214551761215e-05,5.7551039520019136e-06,0.0001347386631615726,7.500380539277835e-05
78,1878,5.69920201444672e-07,2.49065942625748e-05,0.00017360627992145185,9.116163814074493e-05,7.483756365088214e-05,8.805191464489326e-05,5.9291688947788705e-06,0.00013548515354549245,7.431852915778287e-05
79,1879,5.820853833223996e-07,2.460335677564477e-05,0.00017650079098530114,8.995288538114567e-05,7.440560355982078e-05,8.668110967846587e-05,6.10794196680737e-06,0.00013463071705440858,7.418306134811457e-05
80,1880,6.453551739988532e-07,2.441517634516848e-05,0.00017402178699350252,8.907904910821734e-05,7.55512758457501e-05,8.707452902204491e-05,6.384283551597036e-06,0.000134879704481656,7.40063950652419e-05
81,1881,6.711239036251624e-07,2.4022420932721745e-05,0.00017399918579030782,8.858915576378681e-05,7.598468385237669e-05,8.583700088950406e-05,6.594271781068528e-06,0.00013496981617728515,7.383345738633449e-05
82,1882,7.447850326311059e-07,2.386600265578766e-05,0.00017512509241766696,8.819575097212302e-05,7.710127725398966e-05,8.58511942039643e-05,6.936600844450627e-06,0.0001368467596226505,7.433343287540797e-05
83,1883,8.967221073622309e-07,2.3682654240734075e-05,0.0001779119047569111,8.766641154319846e-05,7.888333181784089e-05,8.647845035219299e-05,7.272744109546433e-06,0.00013814079492086812,7.511662673108179e-05
84,1884,9.350127519220613e-07,2.3462024338576676e-05,0.00018012285623366812,8.699496226784374e-05,8.006079588085413e-05,8.696422550461389e-05,7.544065543437942e-06,0.0001387501064787752,7.560425612496147e-05
85,1885,1.0117853516281424e-06,2.3141291031996453e-05,0.00018471898926821138,8.623580755998514e-05,8.089448445908991e-05,8.682842495285772e-05,7.839633651331366e-06,0.00013808072877249548,7.609389313094945e-05
86,1886,1.0988350709340011e-06,2.3127601317745367e-05,0.000186148369851123,8.521621722528445e-05,8.17554204591683e-05,8.757156631743004e-05,8.224204650884661e-06,0.00013888152898289263,7.650296798443281e-05
87,1887,1.3384221395946433e-06,2.2901651391293854e-05,0.00018846682879874215,8.451351459370926e-05,8.200800428832216e-05,8.754308614048309e-05,8.599396096542478e-06,0.00013956784303965314,7.68673433110426e-05
88,1888,1.5613868770612629e-06,2.2619804180327003e-05,0.0001901735252301608,8.394052877390225e-05,8.236350653792865e-05,8.792927318219361e-05,9.04710200952e-06,0.00014005473765012409,7.72112330551522e-05
89,1889,1.6434885878879868e-06,2.2525474767982295e-05,0.000191984635811033,8.406314217219395e-05,8.356876995614064e-05,8.98259479851861e-05,9.46460802099734e-06,0.00014129431344502206,7.804629759330542e-05
90,1890,1.6530382984975795e-06,2.2443914921106106e-05,0.00019404289404129877,8.424899195753304e-05,8.36555690122103e-05,9.059014701051638e-05,9.978858413108225e-06,0.0001407049026706123,7.841478954061034e-05
91,1891,2.0691850132997e-06,2.249219999482323e-05,0.00019653373913440322,8.401985126381208e-05,8.531557146592863e-05,9.094529377762228e-05,1.0552229858668788e-05,0.00014077691386254237,7.908812304638754e-05
92,1892,2.3444904400093947e-06,2.2313671122122158e-05,0.00019653274336763258,8.312345120689965e-05,8.649372154780264e-05,9.05259366845712e-05,1.0944287039040188e-05,0.00014185309867441122,7.926642501031113e-05
93,1893,2.432031075321512e-06,2.2132043471044328e-05,0.0001975380873773247,8.287755086452567e-05,8.841424278216437e-05,9.091254053471078e-05,1.1275939739009897e-05,0.0001454885392117181,8.013387188197741e-05
94,1894,2.3547427677580605e-06,2.1861544934966203e-05,0.000198334754843797,8.219405676105193e-05,8.961242565419525e-05,9.027053394155311e-05,1.1573609559231304e-05,0.0001458541165837752,8.025697313079102e-05
95,1895,2.346957752966513e-06,2.1824586968120586e-05,0.0001982475763985089,8.159048281543489e-05,9.105448615238336e-05,9.035866345844365e-05,1.1786861510440108e-05,0.00014768440451007336,8.061175244579642e-05
96,1896,2.523701563664612e-06,2.1992621831096975e-05,0.00020110055629629642,8.22107945818321e-05,9.125626404836242e-05,9.020345792773046e-05,1.1848907109067244e-05,0.00014916589550141777,8.12877748574335e-05
97,1897,2.5803546382771207e-06,2.2300554909244446e-05,0.00020455394613756134,8.317021066821846e-05,9.211690485244617e-05,9.034602719891285e-05,1.1835895488080236e-05,0.00015187987342609892,8.234797091485495e-05
98,1898,2.4281208815019843e-06,2.203859574884908e-05,0.0002065081020451284,8.265230904466339e-05,9.31553918884934e-05,8.912489283829927e-05,1.1889353897588859e-05,0.00015185351990762034,8.245628578151809e-05
99,1899,2.4168373329302995e-06,2.195856333336061e-05,0.00020948751314011003,8.33342201076448e-05,9.459249226243369e-05,8.984269204250137e-05,1.2186297551254808e-05,0.0001515377828452204,8.316954982693199e-05
100,1900,2.5594983981136465e-06,2.1632612125748502e-05,0.00021092066059022078,8.285859283725066e-05,9.595944824728317e-05,8.888015353087602e-05,1.2464520165979462e-05,0.0001490437695922862,8.303990693596981e-05
101,1901,2.661457106764179e-06,2.1615648230571033e-05,0.0002148512056529788,8.29976748458908e-05,9.728626173455268e-05,8.862705934526665e-05,1.2661882595109222e-05,0.00014982550263604416,8.381583651839719e-05
102,1902,2.798928042985998e-06,2.1321126561295906e-05,0.00021870003547519445,8.226929016278259e-05,9.897211462625169e-05,8.763478815256218e-05,1.2871699124973799e-05,0.00014850293518975377,8.413386466697504e-05
103,1903,2.855330259470585e-06,2.048926736668883e-05,0.0002207741282680737,7.992209326143243e-05,0.00010174994219726483,8.569137051901115e-05,1.3050492530705274e-05,0.0001462857347048287,8.385229488843443e-05
104,1904,2.979220945625067e-06,1.963672626256344e-05,0.00022200932601533298,7.753430067428521e-05,0.00010397652450982215,8.420679660048336e-05,1.3222007899977533e-05,0.00014522630330507776,8.359890077664595e-05
105,1905,3.0457959577948453e-06,1.9173609741431263e-05,0.0002267512006385784,7.7098972854271e-05,0.00010560192770624001,8.399029632398327e-05,1.3326053574149097e-05,0.00014489575239297534,8.42354511486779e-05
106,1906,3.1660651334927285e-06,1.8959770646428558e-05,0.00023209385939740708,7.661291393950316e-05,0.00010746317898987659,8.275385126970442e-05,1.3201752673402162e-05,0.00014564912791164325,8.498756499518225e-05
107,1907,3.4054362783665837e-06,1.878970111387649e-05,0.00023597896298659698,7.610857158267339e-05,0.0001096203424302595,8.204988054265934e-05,1.3188276170694735e-05,0.00014549041432993754,8.557894817938306e-05
108,1908,3.7608418616790525e-06,1.8324003186925048e-05,0.0002401272504357621,7.478234744797061e-05,0.00011357178404328547,8.051585401907297e-05,1.3061372555966955e-05,0.00014307622456856604,8.590245976490352e-05
109,1909,3.935236301393681e-06,1.808093605047491e-05,0.0002468928848559569,7.49344565390077e-05,0.00011593540693866089,7.959066299788122e-05,1.2936473597489697e-05,0.0001457572985340708,8.725791947686698e-05
